,finishing_position,horse_number,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,length_behind_winner,running_position_1,running_position_2,running_position_3,running_position_4,finish_time,win_odds,running_position_5,running_position_6,race_id,recent_6_runs,recent_ave_rank,jockey_ave_rank,trainer_ave_rank,race_distance
0,1,1.0,DOUBLE DRAGON,0,0,0,133,1032,1,-,1.0,2.0,2.0,1.0,1.22.33,3.8,,,2014-001,,7.0,6.052910052910053,7.3818615751789975,1400
1,13,8.0,EVERSPRING,1,1,1,122,988,14,11,13.0,12.0,11.0,13.0,1.24.10,58,,,2014-001,,7.0,7.4408413672217355,7.369127516778524,1400
2,11,5.0,AMAZING GIFT,2,2,2,125,1099,4,7-3/4,3.0,5.0,4.0,11.0,1.23.56,17,,,2014-001,,7.0,7.330365093499554,6.182122905027933,1400
3,10,11.0,SUPER HORSE,3,3,3,119,1137,7,6-3/4,11.0,11.0,12.0,10.0,1.23.41,27,,,2014-001,,7.0,8.304038004750593,7.58997722095672,1400
4,9,6.0,TAI PO FORTUNE,4,4,4,127,1073,6,6-1/4,7.0,7.0,7.0,9.0,1.23.33,10,,,2014-001,,7.0,6.691367456073339,6.89412997903564,1400
5,8,4.0,COOL PAL,5,5,5,129,1203,8,5-3/4,5.0,6.0,6.0,8.0,1.23.25,21,,,2014-001,,7.0,7.985729967069155,7.3230974632843795,1400
6,12,14.0,LITTLE WIND,6,6,6,107,1062,5,10-1/4,10.0,8.0,8.0,12.0,1.23.96,46,,,2014-001,,7.0,7.754491017964072,6.839819004524887,1400
7,6,9.0,WINNING ADVANTAGE,7,7,7,123,1100,11,5-1/2,12.0,13.0,13.0,6.0,1.23.20,24,,,2014-001,,7.0,7.732782369146006,6.755846585594013,1400
8,5,7.0,THE ONLY KID,8,8,8,125,1136,9,4-1/4,9.0,10.0,10.0,5.0,1.23.02,6.1,,,2014-001,,7.0,5.284126984126984,6.903954802259887,1400
9,4,3.0,SUPREME PROFIT,9,9,9,132,1222,2,2,6.0,4.0,5.0,4.0,1.22.66,6.1,,,2014-001,,7.0,4.179172056921087,6.680327868852459,1400
10,3,10.0,GOLDWEAVER,10,10,10,121,1065,3,2,2.0,1.0,1.0,3.0,1.22.66,5.7,,,2014-001,,7.0,7.857758620689655,6.888713496448303,1400
11,2,2.0,PLAIN BLUE BANNER,11,11,11,133,1075,13,2,8.0,9.0,9.0,2.0,1.22.65,8,,,2014-001,,7.0,5.825153374233129,6.611464968152866,1400
12,7,13.0,CARE FREE ELEGANCE,12,12,12,115,1053,12,5-1/2,4.0,3.0,3.0,7.0,1.23.22,99,,,2014-001,,7.0,7.464696223316913,7.077884615384615,1400
13,11,5.0,JOYFUL LUCK,13,13,3,131,1092,12,8-1/2,4.0,4.0,11.0,,1.11.35,13,,,2014-002,,7.0,6.797507788161994,7.58997722095672,1200
14,1,7.0,JUST MISTERE,14,11,10,130,1147,8,-,7.0,7.0,1.0,,1.09.97,7.1,,,2014-002,,7.0,5.825153374233129,6.888713496448303,1200
15,2,11.0,MASSIVE,15,2,5,117,1073,10,1-1/4,2.0,2.0,2.0,,1.10.17,7.4,,,2014-002,,7.0,7.330365093499554,7.3230974632843795,1200
16,3,10.0,SHANGHAI PIONEER,16,14,11,120,1072,7,1-3/4,9.0,8.0,3.0,,1.10.24,82,,,2014-002,,7.0,7.699115044247788,6.611464968152866,1200
17,6,14.0,JUST GOOD,17,15,10,113,1116,3,2-1/2,12.0,11.0,6.0,,1.10.39,44,,,2014-002,,7.0,8.93560606060606,6.888713496448303,1200
18,5,6.0,KING ON EARTH,18,5,1,129,1084,14,2-1/2,11.0,10.0,5.0,,1.10.39,58,,,2014-002,,7.0,7.985729967069155,7.369127516778524,1200
19,7,4.0,MONEY CAFE,19,10,13,132,1103,2,4-1/4,8.0,9.0,7.0,,1.10.64,19,,,2014-002,,7.0,7.857758620689655,7.177492447129909,1200
20,8,9.0,FLYING KEEPER,20,16,14,122,1071,11,4-3/4,13.0,13.0,8.0,,1.10.74,36,,,2014-002,,7.0,9.673321234119783,6.730797912005966,1200
21,12,2.0,SPARKLING SWORD,21,8,8,133,1123,4,9,6.0,5.0,12.0,,1.11.42,2.7,,,2014-002,,7.0,5.284126984126984,6.903954802259887,1200
22,4,12.0,POSITIVE ENERGY,22,9,6,115,1161,13,2,3.0,3.0,4.0,,1.10.31,5.7,,,2014-002,,7.0,4.179172056921087,6.839819004524887,1200
23,13,1.0,ALLEY-OOP,23,3,3,131,1167,9,9,14.0,14.0,13.0,,1.11.43,99,,,2014-002,,7.0,8.304038004750593,7.58997722095672,1200
24,10,3.0,CALIFORNIA ROCK,24,17,15,132,1198,5,7,1.0,1.0,10.0,,1.11.11,6,,,2014-002,,7.0,7.277506112469438,6.535820895522388,1200
25,9,8.0,SUPER TEAM,25,12,7,128,1147,6,6-1/4,10.0,12.0,9.0,,1.10.96,83,,,2014-002,,7.0,7.464696223316913,6.755846585594013,1200
26,14,13.0,AMERICAN FAME,26,4,9,114,1045,1,12-1/2,5.0,6.0,14.0,,1.11.96,99,,,2014-002,,7.0,6.691367456073339,6.680327868852459,1200
27,1,5.0,GOLDEN HARVEST,27,9,7,115,1179,11,-,7.0,6.0,1.0,,1.08.37,7.9,,,2014-003,,7.0,4.179172056921087,6.755846585594013,1200
28,2,8.0,SMART VOLATILITY,28,10,8,113,1180,5,N,5.0,3.0,2.0,,1.08.44,6.6,,,2014-003,,7.0,7.857758620689655,6.903954802259887,1200
29,3,7.0,PENIAPHOBIA,29,17,15,113,1110,2,1,1.0,1.0,3.0,,1.08.55,6.2,,,2014-003,,7.0,7.277506112469438,6.535820895522388,1200
30,4,6.0,LORD SINCLAIR,30,5,16,111,1170,9,3-3/4,9.0,8.0,4.0,,1.08.99,41,,,2014-003,,7.0,7.985729967069155,7.129740518962076,1200
31,6,11.0,BEST ELEVEN,31,2,15,113,1100,4,4-1/2,4.0,5.0,6.0,,1.09.09,93,,,2014-003,,7.0,7.330365093499554,6.535820895522388,1200
32,7,9.0,TOUR DE FORCE,32,4,17,113,1106,6,5-3/4,8.0,10.0,7.0,,1.09.28,10,,,2014-003,,7.0,6.691367456073339,5.517117117117117,1200
33,8,1.0,HELENE SPIRIT,33,7,14,133,1114,10,5-3/4,10.0,11.0,8.0,,1.09.28,21,,,2014-003,,7.0,7.732782369146006,6.730797912005966,1200
34,9,4.0,BULLISH FRIEND,34,8,15,120,1144,1,6,3.0,4.0,9.0,,1.09.33,21,,,2014-003,,7.0,5.284126984126984,6.535820895522388,1200
35,10,3.0,DIVINE TEN,35,11,10,121,1193,7,6-1/4,2.0,2.0,10.0,,1.09.35,2,,,2014-003,,7.0,5.825153374233129,6.888713496448303,1200
36,5,2.0,CHARLES THE GREAT,36,14,18,131,1090,3,4-1/4,6.0,7.0,5.0,,1.09.05,17,,,2014-003,,7.0,7.699115044247788,6.13596837944664,1200
37,11,10.0,EL ZONDA,37,1,15,111,1073,8,7-3/4,11.0,9.0,11.0,,1.09.63,99,,,2014-003,,7.0,7.4408413672217355,6.535820895522388,1200
38,11,10.0,ELEGANT FRAMES,38,1,19,117,1198,14,7,4.0,4.0,11.0,,1.10.37,70,,,2014-004,,7.0,7.4408413672217355,8.121951219512194,1200
39,14,6.0,GOLDEN GUNNERS,39,6,0,116,1019,13,20,7.0,9.0,14.0,,1.12.44,14,,,2014-004,,7.0,7.754491017964072,7.3818615751789975,1200
40,10,7.0,SILVER DRAGON,40,12,10,121,1113,7,6-3/4,10.0,10.0,10.0,,1.10.32,25,,,2014-004,,7.0,7.464696223316913,6.888713496448303,1200
41,9,4.0,OPTIMISM,41,4,11,126,1025,10,6,14.0,11.0,9.0,,1.10.23,99,,,2014-004,,7.0,6.691367456073339,6.611464968152866,1200
42,8,13.0,HEARTLAND,42,10,5,116,1092,1,6,5.0,6.0,8.0,,1.10.23,11,,,2014-004,,7.0,7.857758620689655,7.3230974632843795,1200
43,7,1.0,LUCKY DAY,43,11,15,133,1092,12,6,13.0,13.0,7.0,,1.10.21,5.3,,,2014-004,,7.0,5.825153374233129,6.535820895522388,1200
44,6,9.0,FOREVER AHEAD,44,8,20,120,1048,3,5-1/4,8.0,7.0,6.0,,1.10.09,7.8,,,2014-004,,7.0,5.284126984126984,7.048586572438163,1200
45,5,14.0,WINNING BOY,45,15,4,115,973,11,4-3/4,9.0,8.0,5.0,,1.10.01,12,,,2014-004,,7.0,8.93560606060606,6.89412997903564,1200
46,4,8.0,COLLAGEN,46,17,2,121,1177,2,4-1/4,6.0,5.0,4.0,,1.09.96,34,,,2014-004,,7.0,7.277506112469438,6.182122905027933,1200
47,3,11.0,EXCITABLE BOY,47,5,21,116,1137,6,3-1/4,1.0,1.0,3.0,,1.09.80,99,,,2014-004,,7.0,7.985729967069155,7.7060041407867494,1200
48,2,3.0,HIT THE BID,48,9,7,130,1155,5,3,3.0,3.0,2.0,,1.09.74,2.6,,,2014-004,,7.0,4.179172056921087,6.755846585594013,1200
49,1,5.0,ROMANTIC CASH,49,13,9,125,1144,9,-,2.0,2.0,1.0,,1.09.26,7.6,,,2014-004,,7.0,6.797507788161994,6.680327868852459,1200
50,12,2.0,ABLE WARRIOR,50,14,18,132,1212,8,8-1/2,11.0,14.0,12.0,,1.10.64,22,,,2014-004,,7.0,7.699115044247788,6.13596837944664,1200
51,13,12.0,WIN CHANCE,51,3,13,115,1015,4,16-1/4,12.0,12.0,13.0,,1.11.85,99,,,2014-004,,7.0,8.304038004750593,7.177492447129909,1200
52,3,5.0,HAYHAY,52,1,8,124,1153,3,HD,5.0,3.0,3.0,,0.56.40,51,,,2014-005,,7.0,7.4408413672217355,6.903954802259887,1000
53,4,2.0,INCREDIBLE FELLOW,53,13,22,131,1192,1,N,3.0,2.0,4.0,,0.56.40,5.8,,,2014-005,,7.0,6.797507788161994,6.715419501133787,1000
54,6,12.0,FLASHING GUY,54,2,12,116,1043,13,2-1/2,6.0,4.0,6.0,,0.56.75,23,,,2014-005,,7.0,7.330365093499554,7.077884615384615,1000
55,7,1.0,ORIENTAL PROSPER,55,12,10,131,1217,9,3,10.0,12.0,7.0,,0.56.86,18,,,2014-005,,7.0,7.464696223316913,6.888713496448303,1000
56,8,7.0,GALLANT ROCK,56,4,7,124,1214,2,3-1/2,11.0,5.0,8.0,,0.56.90,40,,,2014-005,,7.0,6.691367456073339,6.755846585594013,1000
57,9,11.0,REAL FIT,57,18,15,114,1057,7,5-1/4,9.0,11.0,9.0,,0.57.20,7,,,2014-005,,7.0,8.535493827160494,6.535820895522388,1000
58,10,13.0,OCEAN ROAR,58,3,1,116,1184,8,6-3/4,2.0,6.0,10.0,,0.57.43,99,,,2014-005,,7.0,8.304038004750593,7.369127516778524,1000
59,11,9.0,HIGHLAND DRAGON,59,14,16,122,1068,11,7-1/2,4.0,9.0,11.0,,0.57.56,31,,,2014-005,,7.0,7.699115044247788,7.129740518962076,1000
60,12,14.0,SIR JOHN,60,15,19,115,1178,14,8-1/4,7.0,10.0,12.0,,0.57.69,19,,,2014-005,,7.0,8.93560606060606,8.121951219512194,1000
61,13,4.0,EXAGGERATION,61,0,18,127,1141,4,8-1/2,14.0,14.0,13.0,,0.57.74,57,,,2014-005,,7.0,6.052910052910053,6.13596837944664,1000
62,14,6.0,DARK CORE,62,9,17,125,1092,6,12-1/4,8.0,7.0,14.0,,0.58.31,5.1,,,2014-005,,7.0,4.179172056921087,5.517117117117117,1000
63,2,3.0,MELLIFLUENT,63,11,9,129,1158,12,SH,12.0,8.0,2.0,,0.56.38,3.1,,,2014-005,,7.0,5.825153374233129,6.680327868852459,1000
64,1,8.0,SENSATION,64,8,4,123,1162,10,-,13.0,13.0,1.0,,0.56.36,15,,,2014-005,,7.0,5.284126984126984,6.89412997903564,1000
65,5,10.0,VICTORY GENERAL,65,17,14,122,1078,5,1/2,1.0,1.0,5.0,,0.56.44,13,,,2014-005,,7.0,7.277506112469438,6.730797912005966,1000
66,10,5.0,STARTING OVER,66,12,14,125,997,5,3,5.0,5.0,4.0,10.0,1.22.66,23,,,2014-006,,7.0,7.464696223316913,6.730797912005966,1400
67,6,6.0,OVETT,67,4,7,126,1137,13,2-1/4,2.0,2.0,2.0,6.0,1.22.54,11,,,2014-006,,7.0,6.691367456073339,6.755846585594013,1400
68,5,13.0,KING OF REASON,68,5,6,113,1057,10,2-1/4,4.0,4.0,3.0,5.0,1.22.50,22,,,2014-006,,7.0,7.985729967069155,6.839819004524887,1400
69,4,3.0,PRINCIPAL,69,9,18,130,1117,9,2,12.0,11.0,10.0,4.0,1.22.49,3.9,,,2014-006,,7.0,4.179172056921087,6.13596837944664,1400
70,3,10.0,GOOD CHOICE,70,17,16,122,1005,4,1-1/4,11.0,9.0,8.0,3.0,1.22.36,5.7,,,2014-006,,7.0,7.277506112469438,7.129740518962076,1400
71,2,11.0,SMART BALL,71,18,15,115,1089,12,1,1.0,1.0,1.0,2.0,1.22.34,5.9,,,2014-006,,7.0,8.535493827160494,6.535820895522388,1400
72,1,2.0,JAZZY FEELING,72,13,22,132,1040,8,-,9.0,6.0,6.0,1.0,1.22.16,8.7,,,2014-006,,7.0,6.797507788161994,6.715419501133787,1400
73,7,9.0,SUPREME FLIGHT,73,14,7,123,1065,1,2-1/2,3.0,3.0,5.0,7.0,1.22.57,20,,,2014-006,,7.0,7.699115044247788,6.755846585594013,1400
74,8,7.0,WHY NOT,74,7,13,126,1148,11,2-3/4,13.0,13.0,11.0,8.0,1.22.62,13,,,2014-006,,7.0,7.732782369146006,7.177492447129909,1400
75,9,4.0,AMBASSADORSHIP,75,6,6,120,1116,3,3,8.0,8.0,12.0,9.0,1.22.63,30,,,2014-006,,7.0,7.754491017964072,6.839819004524887,1400
76,13,1.0,TURBO JEWELLERY,76,1,17,131,1095,7,17-1/2,7.0,12.0,13.0,13.0,1.24.97,69,,,2014-006,,7.0,7.4408413672217355,5.517117117117117,1400
77,12,12.0,MEGA CHAMPION,77,2,15,115,1051,6,5,10.0,10.0,9.0,12.0,1.22.98,31,,,2014-006,,7.0,7.330365093499554,6.535820895522388,1400
78,11,8.0,BEST TANGO,78,0,20,123,1089,2,3-3/4,6.0,7.0,7.0,11.0,1.22.78,8,,,2014-006,,7.0,6.052910052910053,7.048586572438163,1400
79,5,1.0,DEMOKLES,79,6,13,126,1035,7,3-1/2,7.0,3.0,2.0,5.0,1.23.50,27,,,2014-007,,7.0,7.754491017964072,7.177492447129909,1400
80,3,10.0,VARA PEARL,80,9,7,122,1013,5,1-3/4,5.0,8.0,9.0,3.0,1.23.23,7.6,,,2014-007,,7.0,4.179172056921087,6.755846585594013,1400
81,7,14.0,GLOBAL FAME,81,2,22,114,1153,4,4,6.0,5.0,5.0,7.0,1.23.58,20,,,2014-007,,7.0,7.330365093499554,6.715419501133787,1400
82,8,7.0,CULTURAL CITY,82,0,20,124,1070,9,4-1/4,13.0,12.0,11.0,8.0,1.23.64,41,,,2014-007,,7.0,6.052910052910053,7.048586572438163,1400
83,9,9.0,MARK TWO,83,15,4,123,1147,11,5-1/4,11.0,7.0,4.0,9.0,1.23.79,25,,,2014-007,,7.0,8.93560606060606,6.89412997903564,1400
84,2,5.0,GRAND HARBOUR,84,4,18,126,1179,12,1-1/2,8.0,11.0,7.0,2.0,1.23.20,11,,,2014-007,,7.0,6.691367456073339,6.13596837944664,1400
85,1,4.0,HIDDEN VALUE,85,8,14,127,1118,10,-,2.0,2.0,1.0,1.0,1.22.94,3,,,2014-007,,7.0,5.284126984126984,6.730797912005966,1400
86,4,11.0,HIT A HOME RUN,86,11,23,121,1119,6,2-1/4,10.0,10.0,8.0,4.0,1.23.30,2.5,,,2014-007,,7.0,5.825153374233129,6.619105199516324,1400
87,6,3.0,BEAUTY JOURNEY,87,18,15,124,1176,8,3-1/2,1.0,4.0,6.0,6.0,1.23.52,22,,,2014-007,,7.0,8.535493827160494,6.535820895522388,1400
88,13,8.0,GOOD THINKER,88,7,6,124,1033,14,11-1/4,3.0,1.0,3.0,13.0,1.24.73,56,,,2014-007,,7.0,7.732782369146006,6.839819004524887,1400
89,10,12.0,LIBERAL OF MIND,89,16,10,115,972,13,7-1/2,14.0,13.0,13.0,10.0,1.24.13,99,,,2014-007,,7.0,9.673321234119783,6.888713496448303,1400
90,14,6.0,HAPPY ROCKY,90,1,1,124,1089,2,12-3/4,12.0,14.0,14.0,14.0,1.24.96,99,,,2014-007,,7.0,7.4408413672217355,7.369127516778524,1400
91,12,2.0,WATCH KING,91,14,9,130,1090,1,7-3/4,9.0,9.0,12.0,12.0,1.24.20,54,,,2014-007,,7.0,7.699115044247788,6.680327868852459,1400
92,11,13.0,FULL OF FUN,92,5,8,113,1202,3,7-1/2,4.0,6.0,10.0,11.0,1.24.15,64,,,2014-007,,7.0,7.985729967069155,6.903954802259887,1400
93,12,1.0,SPARKLING B,93,14,7,133,1096,11,8-1/2,12.0,12.0,12.0,,1.10.25,83,,,2014-008,,7.0,7.699115044247788,6.755846585594013,1200
94,11,4.0,PEARL WIN,94,12,7,124,1062,3,8,5.0,8.0,11.0,,1.10.20,24,,,2014-008,,7.0,7.464696223316913,6.755846585594013,1200
95,10,8.0,EN CIVIL,95,13,22,121,1101,12,7-1/2,11.0,11.0,10.0,,1.10.09,39,,,2014-008,,7.0,6.797507788161994,6.715419501133787,1200
96,9,10.0,G-ONE LEADER,96,3,13,117,1018,1,6-3/4,4.0,4.0,9.0,,1.09.99,42,,,2014-008,,7.0,8.304038004750593,7.177492447129909,1200
97,7,11.0,FASHION MAESTRO,97,1,1,116,1065,10,6-1/4,3.0,3.0,7.0,,1.09.89,86,,,2014-008,,7.0,7.4408413672217355,7.369127516778524,1200
